Event_Title,Event_Category,Decision_Text,Budget_Impact_One_Time,Citizen_Approval,Business_Approval,Political_Approval,Environmentalist_Approval,Other_Effects_Description
"Avaria Inesperada a [Nom Central]","Tecnologia i Indústria","Entesos, procedir amb la reparació",0,0,0,0,0,"La central afectada queda fora de servei durant 1 trimestre."
"Sequera Històrica","Clima i Desastres","Decretar restriccions d'aigua a la indústria",-100,0,-5,0,2,"Redueix la demanda un 5% durant 2 trimestres."
"Sequera Històrica","Clima i Desastres","Assumir el cost de la baixa producció hidràulica",0,-3,0,-2,0,""
"Vaga General Industrial","Economia i Mercat","Mediar en el conflicte (Cost: 350 M€)",-350,5,2,0,0,""
"Vaga General Industrial","Economia i Mercat","No intervenir i esperar",0,-8,-5,0,0,"La demanda es mantindrà un 15% més baixa durant 2 trimestres."
"Crisi de Materials per a Renovables","Economia i Mercat","Assumir el sobrecost i continuar invertint",0,0,-2,2,0,"El cost de construcció de centrals solars i eòliques augmenta un 25% durant 4 trimestres."
"Crisi de Materials per a Renovables","Economia i Mercat","Aturar les inversions en renovables temporalment",0,0,2,0,-6,"Bloqueja la construcció de centrals solars i eòliques durant 2 trimestres."
"Pujada del Preu del Gas Natural","Economia i Mercat","Subvencionar el preu per a la indústria (Cost: 600 M€)",-600,0,5,-2,-3,""
"Pujada del Preu del Gas Natural","Economia i Mercat","No intervenir i deixar que el mercat actuï",0,-5,-5,0,3,"El cost de manteniment de les centrals de gas augmenta un 50% durant 3 trimestres."
"Incendi Forestal Gegant","Clima i Desastres","Decretar l'aturada de les plantes de biomassa per risc",0,0,-3,0,0,"Atura la producció de totes les plantes de biomassa durant 1 trimestre."
"Incendi Forestal Gegant","Clima i Desastres","Mantenir l'operativa amb mesures extremes de seguretat",0,-4,0,-2,-3,""
"Temporal Marítim Devastador","Clima i Desastres","Iniciar reparacions urgents (Cost: 450 M€)",-450,0,0,2,0,""
"Temporal Marítim Devastador","Clima i Desastres","Esperar a les ajudes de l'Estat",0,-4,-4,-3,-2,"Les centrals eòliques (marines i terrestres) produeixen un 50% menys durant 2 trimestres."
"Hivern Anormalment Suau","Clima i Desastres","Celebrar l'estalvi en calefacció",0,3,0,0,0,"La demanda energètica baixa un 10% aquest trimestre."
"Hivern Anormalment Suau","Clima i Desastres","Invertir els estalvis en eficiència (Cost: 200 M€)",-200,4,2,0,3,"La demanda base es redueix permanentment en 30MW."
"Projecte Pilot d'Eòlica Marina Flotant","Tecnologia i Indústria","Invertir en el projecte (Cost: 1.000 M€)",-1000,3,2,3,0,"Desbloqueja la construcció de centrals d'Eòlica Marina."
"Projecte Pilot d'Eòlica Marina Flotant","Tecnologia i Indústria","Considerar-ho massa arriscat",0,0,-3,0,0,""
"Avenç en l'Emmagatzematge Tèrmic Solar","Tecnologia i Indústria","Finançar el desenvolupament (Cost: 1.200 M€)",-1200,0,2,2,4,"Desbloqueja la construcció de centrals Termosolars."
"Avenç en l'Emmagatzematge Tèrmic Solar","Tecnologia i Indústria","Esperar que la tecnologia maduri",0,0,-2,0,0,""
"Acord Europeu de Desnuclearització","Política i Societat","Acceptar i tancar Ascó I (Cost: 1.500 M€)",-1500,5,-8,5,10,"Clausura permanent de la central Ascó I."
"Acord Europeu de Desnuclearització","Política i Societat","Rebutjar l'acord i defensar la sobirania energètica",0,-5,5,-8,-5,""
"Revisió de Seguretat a una Nuclear","Tecnologia i Indústria","Fer una aturada completa per revisió (Cost: 400 M€)",-400,5,0,2,0,"La central Vandellòs II s'atura durant 1 trimestre."
"Revisió de Seguretat a una Nuclear","Tecnologia i Indústria","Fer revisions parcials sense aturar la producció",0,-8,-3,-3,-5,"Activa el risc de manteniment nuclear (nuclearMaintenanceRisk)."
"Acord d'Importació de Residus per a Biomassa","Economia i Mercat","Acceptar l'acord",100,-2,-2,0,-6,""
"Acord d'Importació de Residus per a Biomassa","Economia i Mercat","Rebutjar l'acord per motius ecològics",0,2,0,0,4,""
"Oportunitat d'Inversió en Bateries","Tecnologia i Indústria","Invertir massivament (Cost: 2.000 M€)",-2000,0,0,3,0,"La producció de Solar i Eòlica augmenta un 20% permanentment."
"Oportunitat d'Inversió en Bateries","Tecnologia i Indústria","Descartar la inversió per l'alt cost",0,0,-2,0,-2,""
"Oportunitat de Projecte d'Hidrogen Verd","Tecnologia i Indústria","Apostar per l'hidrogen (Cost: 1.300 M€)",-1300,0,3,0,5,"El manteniment de les centrals de gas es redueix un 25% permanentment."
"Oportunitat de Projecte d'Hidrogen Verd","Tecnologia i Indústria","Centrar-se en tecnologies més madures",0,0,-2,0,-2,""
"Oportunitat: Millora Tecnològica en Plaques Solars","Tecnologia i Indústria","Invertir en la nova tecnologia (Cost: 850 M€)",-850,0,2,0,3,"La producció de les centrals solars augmenta un 15% permanentment."
"Oportunitat: Millora Tecnològica en Plaques Solars","Tecnologia i Indústria","Mantenir la tecnologia actual",0,0,0,0,0,""
"Subvenció per a la Bioeconomia","Economia i Mercat","Acceptar la subvenció",500,0,3,2,0,""
"Subvenció per a la Bioeconomia","Economia i Mercat","No acceptar-la",0,0,0,0,0,""
"Subvenció Inesperada de la UE per a Eficiència","Economia i Mercat","Destinar-la a la rehabilitació d'edificis",-700,5,0,3,3,"La demanda base es redueix permanentment en 80MW."
"Subvenció Inesperada de la UE per a Eficiència","Economia i Mercat","Injectar els diners al pressupost general",800,0,0,0,0,""
"Boom de l'Autoconsum","Economia i Mercat","Accelerar el model amb ajudes públiques (Cost: 400 M€)",-400,6,0,0,4,"La demanda base es redueix permanentment en 120MW."
"Boom de l'Autoconsum","Economia i Mercat","Deixar que el mercat es reguli sol",0,-3,-3,0,0,"La demanda base es redueix permanentment en 40MW."
